model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,mode_internal,regressor,best_params,test_r2,cv_r2,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C1A3v1,C1,A3,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.0747089416643172,0.11677808268652247,-0.04206914102220527,576,True,0.0535222753045296,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A3v1,C1,A3,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.015565337410391789,0.05073500168908024,-0.035169664278688444,32,True,0.04034595798267009,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A3v2,C1,A3,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.25,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.05598795807330922,0.06755220085981394,-0.011564242786504718,576,True,0.04104420467547494,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A3v2,C1,A3,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.25,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.007740264634759131,0.025388254213626376,-0.017647989578867245,32,True,0.03053169949310188,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A3v3,C1,A3,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.5,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.07231840787314675,0.06380612393353552,0.008512283939611237,576,True,0.03589278878518106,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A3v3,C1,A3,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.5,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.023181712257591636,0.027732100607486373,-0.004550388349894734,32,True,0.018158313982379857,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A3v4,C1,A3,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.75,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.037196488875624135,0.05409181587599071,-0.016895327000366573,576,True,0.041496687004803474,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A3v4,C1,A3,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.75,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.005207804719658704,0.018715290235507887,-0.013507485515849182,32,True,0.01725884059307119,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A3v5,C1,A3,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,2.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.03639829264458531,0.03711728628947906,-0.0007189936448937506,576,True,0.03242973345829514,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A3v5,C1,A3,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,2.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.01148869545323091,0.011470563316448178,1.8132136782729225e-05,32,True,0.014638912408673498,point_m2ae_sc_30_configurations
