model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,mode_internal,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C1A3v3,C1,A3,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.5,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.566538055893298,0.5711011060288032,0.14795690227822655,32,False,0.044940522928330805,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A3v4,C1,A3,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.75,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.609587932559088,0.6009448629094836,0.3188591667276448,576,False,0.04281563946705334,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A3v4,C1,A3,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.75,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5931601683545318,0.5985782272995291,0.1473304077050367,32,False,0.03699357646311084,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A3v5,C1,A3,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,2.0,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6007945059262675,0.5798087406478006,0.2646509581521058,576,False,0.028391972528685236,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A3v5,C1,A3,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,2.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.575055429722687,0.5919612654565645,0.13959172539266085,32,False,0.032142634483958724,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A1v1,C2,A1,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.0,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6575022607036815,0.6139003456278989,0.3252633862956126,384,False,0.02688474768954909,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A1v1,C2,A1,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6263554752861493,0.5592876179299193,0.1651915056225669,32,False,0.0551072804296568,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A1v2,C2,A1,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.25,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6586817572409219,0.6209183559037211,0.31255335341682744,384,False,0.028372707036024056,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A1v2,C2,A1,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.25,PCA 32D,pca_features,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.580509282066577,0.5833063819102293,0.14468450429879076,32,False,0.03541307026623769,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A1v3,C2,A1,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.5,Raw,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.6137880611341285,0.6018294702947745,0.39274907490231203,384,False,0.0289275999641661,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A1v3,C2,A1,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.5,PCA 32D,pca_features,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5304399998761258,0.5456978807586612,0.11536963316539794,32,False,0.04460559974607329,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A1v4,C2,A1,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.75,Raw,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.7}",0.6064898335035808,0.5834355021539238,0.3780610273352105,384,False,0.012436338166370119,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A1v4,C2,A1,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.75,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.561153247520293,0.5635342896548526,0.1573713338416849,32,False,0.0549884468345341,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A1v5,C2,A1,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,2.0,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6537344252047735,0.5799941168237189,0.3210367589607359,384,False,0.0209647386478036,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A1v5,C2,A1,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,2.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5945383380246707,0.5805467419694041,0.14508805656326684,32,False,0.033723605990612984,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A2v1,C2,A2,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.0,Raw,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.5799140825402209,0.5781101638982891,0.31904577834124415,1536,False,0.028909290715336593,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A2v1,C2,A2,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.0,PCA 32D,pca_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5623179188598748,0.5685015786347634,0.1626467783228508,32,False,0.01642553863290958,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A2v2,C2,A2,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.25,Raw,raw_features,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6004038417192974,0.602920694479835,0.35529487406329285,1536,False,0.011397520255517801,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A2v2,C2,A2,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.25,PCA 32D,pca_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.571932043660247,0.6246579221275917,0.13620494940967376,32,False,0.012498342408869698,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A2v3,C2,A2,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.5,Raw,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.6451700625659867,0.6051604322311259,0.39480907614962124,1536,False,0.03874124809728173,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A2v3,C2,A2,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.5,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5395925345640709,0.585930605220063,0.1427910458494961,32,False,0.03612058056879248,point_m2ae_ofc_30_configurations
