model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C2A5v2,C2,A5,v2,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",attention,2.0,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.8}",0.5144940029812384,0.5508368616017209,0.4321246067762953,384,False,0.03516512985997177,point_m2ae_full_configurations
point_m2ae_encoder,C2A5v3,C2,A5,v3,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",attention,2.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.3}",0.4889651753963021,0.5484573053511916,0.4406316892823581,384,False,0.012675824029581622,point_m2ae_full_configurations
point_m2ae_encoder,C2A5v4,C2,A5,v4,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",attention,3.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.47200300331347533,0.538641071087052,0.2607107848932074,384,False,0.02874463037679785,point_m2ae_full_configurations
point_m2ae_encoder,C3A1v1,C3,A1,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.6137880611341285,0.6018294702947745,0.39274907490231203,384,False,0.0289275999641661,point_m2ae_full_configurations
point_m2ae_encoder,C3A1v2,C3,A1,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6537344252047735,0.5799941168237189,0.3210367589607359,384,False,0.0209647386478036,point_m2ae_full_configurations
point_m2ae_encoder,C3A1v3,C3,A1,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,2.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.5433384776848617,0.5677932719468883,0.3429261131270218,384,False,0.04760396830970077,point_m2ae_full_configurations
point_m2ae_encoder,C3A1v4,C3,A1,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,3.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5731107759097128,0.5851228519365043,0.16047765374803424,384,False,0.03434073485701244,point_m2ae_full_configurations
point_m2ae_encoder,C3A2v1,C3,A2,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.5,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.6451700625659867,0.6051604322311259,0.39480907614962124,1536,False,0.03874124809728173,point_m2ae_full_configurations
point_m2ae_encoder,C3A2v2,C3,A2,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,raw_features,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5851596555472127,0.5823885124652233,0.3682717204113597,1536,False,0.03619847006684952,point_m2ae_full_configurations
point_m2ae_encoder,C3A2v3,C3,A2,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,2.5,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.7}",0.5218897795389085,0.5412866256315813,-0.030890109063996696,1536,False,0.0471751364029683,point_m2ae_full_configurations
